# L_m H_m fuel_kg V_kmh
2772.41 531.303 907.502 488.32
2779.19 531.295 909.343 488.643
2785.98 531.288 911.184 488.966
2792.78 531.281 913.025 489.288
2799.57 531.273 914.866 489.61
2806.38 531.266 916.706 489.933
2813.18 531.259 918.547 490.255
2820 531.251 920.388 490.577
2826.81 531.244 922.229 490.898
2833.63 531.237 924.069 491.22
2840.46 531.229 925.91 491.542
2847.29 531.222 927.751 491.863
2854.12 531.215 929.592 492.185
2860.96 531.208 931.433 492.506
2867.8 531.2 933.273 492.827
2874.65 531.193 935.114 493.148
2881.5 531.186 936.955 493.469
2888.35 531.179 938.796 493.79
2895.21 531.171 940.636 494.111
2902.08 531.164 942.477 494.431
2908.95 531.157 944.318 494.752
2915.82 531.15 946.159 495.072
2922.7 531.142 948 495.392
2929.58 531.135 949.84 495.712
2936.47 531.128 951.681 496.032
2943.36 531.121 953.522 496.352
2950.26 531.114 955.363 496.672
2957.16 531.106 957.203 496.992
2964.06 531.099 959.044 497.311
2970.97 531.092 960.885 497.631
2977.89 531.085 962.726 497.95
2984.8 531.078 964.566 498.269
2991.73 531.071 966.407 498.588
2998.65 531.063 968.248 498.907
3005.59 531.056 970.089 499.226
3012.52 531.049 971.929 499.545
3019.46 531.042 973.77 499.864
3026.41 531.035 975.611 500.182
3033.36 531.028 977.452 500.501
3040.31 531.021 979.293 500.819
3047.27 531.014 981.133 501.137
3054.23 531.007 982.974 501.455
3061.2 530.999 984.815 501.773
3068.17 530.992 986.656 502.091
3075.14 530.985 988.496 502.409
3082.12 530.978 990.337 502.726
3089.11 530.971 992.178 503.044
3096.1 530.964 994.019 503.361
3103.09 530.957 995.859 503.678
3110.09 530.95 997.7 503.995
3117.09 530.943 999.541 504.312
3124.1 530.936 1001.38 504.629
3131.11 530.929 1003.22 504.946
3138.12 530.922 1005.06 505.263
3145.14 530.915 1006.9 505.579
3152.17 530.908 1008.74 505.896
3159.2 530.901 1010.59 506.212
3166.23 530.894 1012.43 506.528
3173.27 530.887 1014.27 506.844
3180.31 530.88 1016.11 507.16
3187.35 530.873 1017.95 507.476
3194.4 530.866 1019.79 507.792
3201.46 530.859 1021.63 508.108
3208.52 530.852 1023.47 508.423
3215.58 530.845 1025.31 508.739
3222.65 530.838 1027.15 509.054
3229.72 530.831 1028.99 509.369
3236.8 530.824 1030.83 509.684
3243.88 530.818 1032.67 509.999
3250.97 530.811 1034.51 510.314
3258.06 530.804 1036.36 510.628
3265.15 530.797 1038.2 510.943
3272.25 530.79 1040.04 511.258
3279.35 530.783 1041.88 511.572
3286.46 530.776 1043.72 511.886
3293.57 530.769 1045.56 512.2
3300.69 530.762 1047.4 512.514
3307.81 530.756 1049.24 512.828
3314.93 530.749 1051.08 513.142
3322.06 530.742 1052.92 513.456
3329.19 530.735 1054.76 513.769
3336.33 530.728 1056.6 514.082
3343.47 530.721 1058.44 514.396
3350.62 530.715 1060.29 514.709
3357.77 530.708 1062.13 515.022
